label,Eusocial,HD.all
Euproctoides_acrisia,solitary,DD
Euproctis_semifusca,solitary,DD
Euproctis_trispila,solitary,DD
Acyphas_amphideta,solitary,DD
Lymantria_obfuscata,solitary,DD
Daplasa_irrorata,solitary,DD
Dasychira_plagiata,solitary,DD
Oxycanus_maculosus,solitary,DD
Aenetus_ombraloma,solitary,DD
Esthlodora_versicolor,solitary,DD
Trauaxa_lua,solitary,DD
Asota_heliconia,solitary,DD
Idia_lubricalis,solitary,DD
Avatha_novoguineana,solitary,DD
Athyrma_subpunctata,solitary,DD
Hypocala_deflorata,solitary,DD
Hypocala_guttiventris,solitary,DD
Niguza_eucesta,solitary,DD
Prorocopis_transversilinea,solitary,DD
Alophosoma_emmelopis,solitary,DD
Alabama_argillacea,solitary,DD
Hypena_crassalis,solitary,DD
Hypena_eductalis,solitary,DD
Hypena_syllificalis,solitary,DD
Amolita_pepita,solitary,DD
Aucha_triphaenoides,solitary,DD
Oxythres_splendens,solitary,DD
Sympistis_cocytus,solitary,DD
Sympistis_figurata,solitary,DD
Prospalta_incertissima,solitary,DD
Elaphria_nucicolora,solitary,DD
Protodeltote_albidula,solitary,DD
Acronicta_sperata,solitary,DD
Chalcoecia_harminella,solitary,DD
Macdunnoughia_crassisigna,solitary,DD
Diachrysia_balluca,solitary,DD
Mouralia_tinctoides,solitary,DD
Sarrothripa_baeopis,solitary,DD
Eudocima_phalonia,solitary,DD
Calyptra_canadensis,solitary,DD
Eudocima_aurantia,solitary,DD
Metachrostis_paurograpta,solitary,DD
Ericeia_epitheca,solitary,DD
Coxina_hadenoides,solitary,DD
Crypsiprora_peratoscia,solitary,DD
Bastilla_frontinus,solitary,DD
Azeta_ceramina,solitary,DD
Heliocheilus_confertissima,solitary,DD
Heliothis_adaucta,solitary,DD
Euxoa_laetificans,solitary,DD
Euxoa_pluralis,solitary,DD
Euxoa_cinereopallida,solitary,DD
Euxoa_agema,solitary,DD
Euxoa_idahoensis,solitary,DD
Agrotis_clavis,solitary,DD
Anicla_illapsa,solitary,DD
Diarsia_ferruginea,solitary,DD
Xestia_castanea,solitary,DD
Hypocoena_inquinata,solitary,DD
Tridepia_nova,solitary,DD
Sutyna_privata,solitary,DD
Neoligia_invenusta,solitary,DD
Mesapamea_didyma,solitary,DD
