"label","genus","species","order","family","sociality","haplodiploidy","HD.arrhenotoky","HD.all","Eusocial","Eusocial.strict","Eus.strict.koos.gawne"
"Amphientomidae_sp_BIOUG02395_B08_KY839386","Amphientomidae","sp_BIOUG02395_B08_KY839386","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Myrsidea_nesomimi","Myrsidea","nesomimi","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Colpocephalum_turbinatum","Colpocephalum","turbinatum","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Heterodoxus_macropus","Heterodoxus","macropus","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ricinus_marginatus","Ricinus","marginatus","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Laemobothrion_vulturis","Laemobothrion","vulturis","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Anaticola_anseris","Anaticola","anseris","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ibidoecus_bisignatus","Ibidoecus","bisignatus","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Campanulotes_bidentatus","Campanulotes","bidentatus","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Bothriometopus_macrocnemis","Bothriometopus","macrocnemis","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Dorypteryx_domestica","Dorypteryx","domestica","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Dorypteryx_longipennis","Dorypteryx","longipennis","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Teleogryllus_commodus","Teleogryllus","commodus","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Oecanthus_fultoni","Oecanthus","fultoni","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Neoxabea_bipunctata","Neoxabea","bipunctata","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Truljalia_hibinonis","Truljalia","hibinonis","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Phyllopalpus_pulchellus","Phyllopalpus","pulchellus","Orthoptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
